#Query,DatabaseMatch,PrimaryCity,SecondaryCity,PredictedSubtype,Correctness
B.N.NC.NAM.US.8978.2006.KY112193,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.N.NC.NAM.US.9018.2006.KY112192,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.N.NC.NAM.US.9013.2006.KY112191,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.N.NC.NAM.US.9015.2006.KY112190,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.Newark_NJ.Newark.NAM.US.9738.1984.M17449,B.ZA.1985.R84.8710.FJ647145,Newark_NJ,Newark,B,correct
B.N.Newark.NAM.US.8864.1984.MN887622,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8867.1984.MN887621,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8363.1984.MN887619,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8860.1984.MN887616,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8860.1984.MN887615,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8859.1984.MN887614,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8859.1984.MN887613,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8859.1984.MN887612,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8859.1984.MN887611,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8860.1984.MN887609,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.N.Newark.NAM.US.8858.1984.MN887608,B.ZA.1985.R84.8710.FJ647145,N,Newark,B,correct
B.South_Carolina.North_Augusta_SC.NAM.US.8699.1997.KT124744,B.ZA.1985.R84.8710.FJ647145,South_Carolina,North_Augusta_SC,B,correct
B.Montreal.NULL.NAM.CA.8973.1996.AY314063,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8997.1996.AY314062,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8964.1996.AY314061,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8964.1996.AY314060,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8970.1996.AY314059,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8970.1996.AY314058,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8964.1996.AY314057,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.9003.1996.AY314056,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8997.1996.AY314055,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8967.1996.AY314054,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8985.1996.AY314053,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8988.1996.AY314052,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8982.1996.AY314051,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8982.1996.AY314050,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8982.1996.AY314049,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8988.1996.AY314048,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8985.1996.AY314047,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8988.1996.AY314046,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8985.1996.AY314045,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Montreal.NULL.NAM.CA.8982.1996.AY314044,B.ZA.1985.R84.8710.FJ647145,Montreal,NULL,B,correct
B.Boston.N.NAM.US.8642.N.EU616649,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8606.N.EU616645,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8624.N.EU616644,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8627.N.EU616643,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8627.N.EU616642,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8376.N.EU616641,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8621.N.EU616640,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8585.N.EU616639,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
A1C.Montreal.N.NAM.CA.9457.2004.EU220698,A1C.RW.1992.92RW009_06.8992.U88823,Montreal,N,A1C,correct
B.N.N.NAM.US.9117.1998.EF175212,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9117.1998.EF175211,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9117.1998.EF175210,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9117.1998.EF175209,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
AKU.Boston.N.NAM.US.8766.N.DQ886038,A1.UG.1986.002424.9413.OP039481,Boston,N,AKU,incorrect
B.Boston.N.NAM.US.8864.2005.DQ886037,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8844.N.DQ886036,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8864.N.DQ886035,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8830.N.DQ886034,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8889.N.DQ886033,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8794.N.DQ886032,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Boston.N.NAM.US.8916.N.DQ886031,B.ZA.1985.R84.8710.FJ647145,Boston,N,B,correct
B.Stony_Brook.N.NAM.US.9271.1996.DQ487191,B.ZA.1985.R84.8710.FJ647145,Stony_Brook,N,B,correct
B.Stony_Brook.N.NAM.US.9291.1993.DQ487190,B.ZA.1985.R84.8710.FJ647145,Stony_Brook,N,B,correct
B.Stony_Brook.N.NAM.US.9340.1995.DQ487189,B.ZA.1985.R84.8710.FJ647145,Stony_Brook,N,B,correct
B.Stony_Brook.N.NAM.US.9344.1993.DQ487188,B.ZA.1985.R84.8710.FJ647145,Stony_Brook,N,B,correct
B.N.N.NAM.US.9710.2004.EF363127,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9742.2004.EF363126,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9703.2004.EF363125,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9715.2004.EF363124,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9739.2000.EF363123,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9739.2000.EF363122,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
O.N.N.NAM.US.9186.1999.AY169814,O.CM.1994.LA50YBF16.9811.KU168293,N,N,O,correct
O.N.N.NAM.US.9147.1997.AY169805,O.CM.1998.98CMABB141.9182.AY169807,N,N,O,correct
B.Seattle.N.NAM.US.9185.1998.DQ853464,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9210.1998.DQ853463,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9143.1998.DQ853462,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9129.1998.DQ853461,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9143.1998.DQ853460,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9143.1998.DQ853459,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9096.1998.DQ853458,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9096.1998.DQ853457,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9102.1998.DQ853456,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9096.1998.DQ853455,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9043.2000.DQ853454,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9122.2000.DQ853453,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9119.2000.DQ853452,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9109.2000.DQ853451,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9130.2000.DQ853450,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9128.2000.DQ853449,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8651.2002.DQ853448,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8666.2002.DQ853447,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8648.2002.DQ853446,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8636.2002.DQ853445,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8645.2002.DQ853444,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8642.2002.DQ853443,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8648.2002.DQ853442,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8642.2002.DQ853441,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8642.2002.DQ853440,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.8644.2002.DQ853439,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9129.2000.DQ853438,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9124.2000.DQ853437,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Seattle.N.NAM.US.9136.2000.DQ853436,B.ZA.1985.R84.8710.FJ647145,Seattle,N,B,correct
B.Upstate_New_York.N.NAM.US.9584.1985.AB253432,B.ZA.1985.R84.8710.FJ647145,Upstate_New_York,N,B,correct
B.N.N.NAM.US.9128.1983.M17451,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8779.N.DQ322239,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8792.N.DQ322230,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8792.N.DQ322229,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8791.N.DQ322228,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8831.N.DQ322227,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8791.N.DQ322226,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8800.N.DQ322225,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8793.N.DQ322224,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.CA.8799.N.DQ322223,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.Upstate_New_York.N.NAM.US.9584.1985.AB221005,B.ZA.1985.R84.8710.FJ647145,Upstate_New_York,N,B,correct
B.N.N.NAM.US.9712.1983.AY835781,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9715.1993.AY835776,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9724.1997.AY835772,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9715.1989.AY835766,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9688.1984.AY835765,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9824.1991.AY835761,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9757.1987.AY835758,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9790.1996.AY835753,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9692.1990.AY835751,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9664.1986.AY835780,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9697.1984.AY835779,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9703.1986.AY835778,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9703.1983.AY835777,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9722.1986.AY835775,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9736.1986.AY835774,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9754.1994.AY835773,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9733.1986.AY835771,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9730.1983.AY835770,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9709.1985.AY835769,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9721.1993.AY835767,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9775.1992.AY835764,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9784.1988.AY835763,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9703.1984.AY835762,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9749.1987.AY835760,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9747.1982.AY835759,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
B.N.N.NAM.US.9739.1986.AY835757,B.ZA.1985.R84.8710.FJ647145,N,N,B,correct
